id_category,all_category,background_url,description
CCNCAT0010,Cây Trước Cửa & Hành Lang,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-trang-tri-nha-cua.jpg,"Khu vực ban công tuy không rộng nhưng nó vẫn có thể biến thành một khu vườn của riêng bạn. Thật tuyệt vời khi được thưởng thức một ly trà, ăn miếng bánh và đọc cuốn sách yêu thích, tại khu vườn nhỏ xanh mát này, sau một ngày làm việc mệt mỏi."
CCNCAT0011,Cây Cao & Lớn Trong Nhà,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-cao-lon-trong-nha.jpg,"Nếu muốn tạo hiệu ứng không gian trải rộng hãy thử đặt một chậu cây cảnh cao và lớn tại góc tường. Với chiều cao của mình, cây cảnh sẽ thu hút mọi ánh nhìn vào đường thẳng kiến trúc."
CCNCAT0012,Cây Kiểng lá,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-kieng-la.jpg,"Với vẻ đẹp tuyệt vời từ những cái cây kiểng lá giống như liều thuốc hữu hiệu cho chứng ""đâu đầu"" mỗi khi làm việc căng thẳng. Ngoài giá trị về mặt tinh thần thì kiểng lá là một sự lựa chọn rất tuyệt vời giúp gia tăng thẩm mỹ cho không gian sống."
CCNCAT0013,Cây Nhiệt Đới,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-nhiet-doi-cata.jpg,Thật tuyệt vời khi được sống giữa một khu rừng trong lành. Với mong muốn gần gũi với thiên nhiên thì việc phối những loại cây xanh vùng nhiệt đới sẽ giúp tô điểm thêm cho ngôi nhà của bạn.
CCNCAT0014,Cây Trồng Ban Công,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-trong-ban-cong.jpg,"Khu vực ban công tuy không rộng nhưng nó vẫn có thể biến thành một khu vườn của riêng bạn. Thật tuyệt vời khi được thưởng thức một ly trà, ăn miếng bánh và đọc cuốn sách yêu thích, tại khu vườn nhỏ xanh mát này, sau một ngày làm việc mệt mỏi."
CCNCAT0015,Cây Treo Trong Nhà,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-canh-treo-trong-nha.jpg,Treo thêm vài chậu cây cảnh trong nhà là một ý tưởng rất tuyệt vời để bạn phủ xanh không gian sống của mình.
CCNCAT0016,Cây Thủy Sinh,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-thuy-sinh.jpg,"Dạng cây thủy sinh vốn được trồng trong nước nên sẽ chẳng cần phải tưới thường xuyên, và nó sẽ giúp bạn tiết kiệm thời gian rất nhiều. Đặt một vài chậu cây cảnh thủy sinh trên bàn làm việc để giúp bạn cải thiện tâm trạng, cũng như giúp thanh lọc không khí rất tốt."
CCNCAT0017,Cây Cảnh Mini,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-canh-mini-de-ban.jpg,"Với một vài chậu cây cảnh mini trên bàn làm việc, kệ sách có thể giúp bạn cải thiện cảm xúc, tăng cường tâm trạng rất tốt. Hãy để MOW Garden giúp bạn sở hữu những chậu cây cảnh mini thật chất lượng nhé."
CCNCAT0018,Cây Có Hoa,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-co-hoa-1.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để MOW Garden giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0019,Cây Ngoài Trời,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-ngoai-troi.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0020,Cây Trang Trí Ngoài Trời,,
CCNCAT0021,Uncategorized,,
CCNCAT0022,Cây Hàng Rào,https://mowgarden.com/wp-content/uploads/2021/07/dl.beatsnoop.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0023,Cây Tầm Thấp,,
CCNCAT0024,Cây Dạng Bụi,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-dang-bui.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để MOW Garden giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0025,Cây Lá Kim,,
CCNCAT0026,Cây Trồng Viền,,
CCNCAT0027,Cây Lá Màu,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-la-mau.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0028,Cây Lá Rộng,,
CCNCAT0029,Cây Leo Dàn,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-leo-gian.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0030,Cây Thân Đốt,https://mowgarden.com/wp-content/uploads/2021/07/dl.beatsnoop.com-1625893917.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0031,Cây Thường Xanh,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-thuong-xanh.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0032,Cây Tầm Trung,,
CCNCAT0033,Cây Ăn Quả,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-an-trai.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0034,Cây Che Phủ Nền,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-trong-vien.jpg,"Dạng cây thủy sinh vốn được trồng trong nước nên sẽ chẳng cần phải tưới thường xuyên, và nó sẽ giúp bạn tiết kiệm thời gian rất nhiều. Đặt một vài chậu cây cảnh thủy sinh trên bàn làm việc để giúp bạn cải thiện tâm trạng, cũng như giúp thanh lọc không khí rất tốt."
CCNCAT0035,Cây Bóng Mát,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-cay-bong-mat.jpg,"Dạng cây thủy sinh vốn được trồng trong nước nên sẽ chẳng cần phải tưới thường xuyên, và nó sẽ giúp bạn tiết kiệm thời gian rất nhiều. Đặt một vài chậu cây cảnh thủy sinh trên bàn làm việc để giúp bạn cải thiện tâm trạng, cũng như giúp thanh lọc không khí rất tốt."
CCNCAT0036,Cây Tán Hình Tròn,,
CCNCAT0037,Cỏ Cảnh,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-co-phu-nen.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0038,Chậu Xi Măng,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-xi-mang.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0039,Kiểu Hình Bầu,,
CCNCAT0040,Chậu Gốm Sứ,,
CCNCAT0041,Chậu Cây Cảnh,,
CCNCAT0042,Chậu Đất Nung,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-dat-nung.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0043,Kiểu Trụ Đứng,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-cay-tru-dung.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0044,Chậu Mini Để Bàn,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-nho-de-ban.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0045,Chậu Cỡ Lớn,,
CCNCAT0046,Chậu Cỡ Trung,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-tam-trung.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0047,Kiểu Hình Bầu Tròn,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-tron-bau.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0048,Chậu Cao,,
CCNCAT0049,Chậu Nhựa,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-nhua.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
CCNCAT0050,Kiểu Chậu Treo,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-treo.jpg,Treo thêm vài chậu cây cảnh trong nhà là một ý tưởng rất tuyệt vời để bạn phủ xanh không gian sống của mình. Bạn có thể đặt mua cây cảnh treo trong nhà chất lượng từ trang web chúng tôi.
CCNCAT0051,Kiểu Chậu Vuông,https://mowgarden.com/wp-content/uploads/2021/07/danh-muc-chau-cay-vuong.jpg,"Được ngồi cùng với nhau trò chuyện dưới những tán cây xanh mát, xung quanh là hoa cỏ thơm ngát, có làn gió nhẹ nhàng thoáng qua. Hãy để chúng tôi giúp bạn tạo nên một khu vườn thật tuyệt vời nhé."
