PLANTID,TÊN KHOA HỌC,TÊN GỌI,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0016,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,"• Kích thược 12×11 cm (DxC)
• Chiều cao: 10 – 15 cm",Dễ chăm sóc,Ánh sáng tán xạ / Chịu bóng râm tốt,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0017,Spathiphyllum Wallisii,Lan ý,Cao 30 – 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0018,Aglaonema Red Siam,Cây Phú Quý,Chiều cao: 50cm – Chậu 20x20cm,Dễ chăm sóc,Ánh sáng tán xạ; Chịu được khuất sáng,Vừa phải (2 lần/tuần),,,,,,,
CCNPLT0019,Philodendron Imperial Green,Trầu bà đế vương xanh,,Rất dễ chăm sóc,Nắng tán xạ,Tưới nước 3 – 5 lần/tháng,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm",,,,,,
CCNPLT0020,Aglaonema Snow White,Cây ngọc ngân,"• Kích thước chậu: 18x16cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0021,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 15x14cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0022,Bucida Buceras Variegated,Bàng Đài Loan cẩm thạch,"• Kích thước chậu: 42×47 cm (DxC)
• Chiều cao tổng: 130–140 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0023,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 20x15cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0024,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 12×12 cm (DxC)
• Chiều cao tổng: 25 – 30 cm",,,,,,
CCNPLT0025,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 17x17cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0026,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,"• Kích thước chậu: 14×12 cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0027,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,"• Kích thước chậu: 9x12cm (DxC)
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0028,Peperomia obtusifolia,Cây trường sinh,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 14×14 cm (DxC)
• Chiều cao tổng: 30 cm",,,,,,
CCNPLT0029,Philodendron Imperial Golden,Cây trầu bà đế vương vàng,"• Kích thước chậu: 15×12,5 (DxC)
• Chiều cao tổng: 35 – 40 cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0030,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,"• Kích thước chậu: 11x11cm
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0031,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng: cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0032,Sansevieria futura Superba,Cây lưỡi hổ thái,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 30 – 40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0033,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,"• Kích thước chậu: 32×40 cm (ĐxC)
• Chiều cao 120 – 140cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0034,Scheffera Octophylla,Ngũ gia bì,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 40-50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0035,Dracaena draco,Phát tài núi,"• Kích thước chậu: 38.5x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0036,Podocarpus macrophyllus,Cây tùng bồng lai,"• Kích thước chậu: 35x15cm (DxC)
• Chiều cao tổng: 55 cm
• Độ rộng tán: 45 cm",Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0037,Philodendron Imperial Red,Trầu bà đế vương đỏ,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng:  cm
• Độ rộng tán: cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0038,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: cm (DxC)
• Chiều cao tổng: cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0039,Hedera Helix,Cây thường xuân cẩm thạch,Chậu ươm 10×10,Trung bình,"Ít nắng, trồng nơi râm mát",Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0040,Philodendron billietiae,Cây hồng hạc chân cam,"• Kích thước chậu: 32×25 cm (DxC)
• Kích thước lá: 35 ~ 40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0041,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 37×37 cm (DxC)
• Chiều cao tổng: 100 – 120 cm",,,,,,
CCNPLT0042,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 50×47 cm (DxC)
• Chiều cao tổng: 180 – 200 cm",,,,,,
CCNPLT0043,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,"• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 110 – 120cm",Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0044,Scheffera Octophylla,Ngũ gia bì,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 20 – 24cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0045,Dracaena fragrans ‘Compacta’,Trúc mặt trời / Phát tài Nhật,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 20 – 30 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0046,Alocasia Dragon Scale,Môn vảy rồng,"• Kích thước chậu: 15x15cm (DxC)
• Chiều cao tổng: 30 – 32 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0047,Peperomia obtusifolia,Cây trường sinh,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 18×18 cm (DxC)
• Chiều cao tổng: 40 cm",,,,,,
CCNPLT0048,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 13,5x10cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0049,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 25x21cm (DxC)
• Chiều cao tổng: 80 – 90cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0050,Nageia fleuryi,Cây kim giao,"• Kích thước chậu: 15x12cm (DxC)
• Chiều cao tổng 25 – 30 cm",Dễ chăm sóc,Nắng tán xạ / Chịu được nắng trực tiếp,Tưới nước 2 – 3 lần/ngày,,,,,,,
CCNPLT0051,Dracaena ‘Green Jewel’,Cây phát tài xanh,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao tổng 40 – 60 cm,,,,,,
CCNPLT0052,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 15x14cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0053,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 15×18,5cm (DxC)
• Chiều cao tổng: 40 – 45cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0054,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 14,5x12cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0055,Sansevieria trifasciata Gold Flame,Cây lưỡi hổ hoàng kim,"• Kích thước chậu: 11×10 cm (DxC)
• Chiều cao: 40 cm
• Số lượng thân: 1 thân",Dễ chăm sóc,Ánh sáng tán xạ; Bóng râm; Chịu được bóng râm,Tưới nước 1 lần/tuần,,,,,,,
CCNPLT0056,Philodendron Imperial Green,Trầu bà đế vương xanh,,Rất dễ chăm sóc,Nắng tán xạ,Tưới nước 3 – 3 lần/tháng,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm",,,,,,
CCNPLT0057,Philodendron Birkin,Trầu bà đế vương kim cương,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 35 cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0058,Dracaena dorado,Cây phát tài viền vàng,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Thay nước 2 – 3 lần/tháng,Chiều cao tổng 40 – 60 cm,,,,,,
CCNPLT0059,Pachira aquatica,Cây kim ngân,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0060,Licuala grandis,Cọ Nhật,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao chậu + cây: 60 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0061,,Cỏ may mắn,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 40cm",Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,Hạt thanh long,,,,,
CCNPLT0062,,Cỏ may mắn,"• Kích thước chậu: 11x11cm (DxC)
• Chiều cao tổng: 40cm",Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,Hạt thanh long,,,,,
CCNPLT0063,Chamaedorea elegans,Cau tiểu trâm,"• Kích thước chậu:  (DxC)
• Chiều cao tổng:",Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần),,,,,,,
CCNPLT0064,Livistona chinensis,Cọ lá xẻ / Kè ta,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao:",Dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần),,,,,,,
CCNPLT0065,Philodendron Xanadu,Cây Trầu Bà Chân Vịt,,Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: ~40 cm",,,,,,
CCNPLT0066,Sansevieria trifasciata Golden Hahnii,Cây lưỡi hổ Thái vàng mini,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao: 10 cm – Tán 15 cm",Dễ chăm sóc,Ánh sáng tán xạ / Chịu được bóng râm,Tưới nước 1 – 2 lần/tuần),,,,,,,
CCNPLT0067,Anthurium andreanum,Cây hồng môn,"• Kích thước chậu: 12×12 cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/lần,,,,,,,
CCNPLT0068,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0069,Peperomia obtusifolia var,Cây trường sinh cẩm thạch,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 40 – 60 cm,,,,,,
CCNPLT0070,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 18x18cm (DxC)
•Chiều cao tổng: 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0071,Philodendron Birkin,Trầu bà đế vương kim cương,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao tổng: 25 cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0072,Aglaonema ‘Pink Legacy’,Cây cung điện vàng,"• Kích thước chậu:  18×14 cm (DxC)
• Chiều cao tổng: 35 cm",Dê chăm sóc,Nắng tán xạ / Nơi râm mát,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0073,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,"• Kích thược 12×11 cm (DxC)
• Chiều cao: 10 – 15 cm",Dễ chăm sóc,Ánh sáng tán xạ / Chịu bóng râm tốt,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0074,Ficus Elastica Tineke,Đa búp đỏ cẩm thạch,"• Kích thước chậu: 12x12cm (DxC)
• Chiều cao 10 – 15cm",Rất dễ chăm sóc,Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0075,Sansevieria futura Superba,Cây lưỡi hổ thái,"• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 30 – 40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0076,Sansevieria trifasciata ‘Laurentii’,Lưỡi hổ vàng,"• Kích thước chậu: 30×55 cm (DxC)
• Chiều cao tổng: 110 – 120 cm",Rất ễ chăm sóc,"Nắng tán xạ, chịu bóng râm cực tốt",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0077,Dracaena draco L,Phát tài núi,"• Kích thước chậu: 36x36cm (DxC)
• Chiều cao tổng: 150 – 160 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0078,Chrysalidocarpus lutescens,Cau vàng Nhật Bản,Chiều cao 80 cm,Rất dễ chăm sóc,"Nắng tán xạ, bóng râm",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0079,Spathiphyllum Sensation,Lan ý Mỹ,"• Kích thước chậu: 18x30cm (DxC)
• Chiều cao tổng: 60 – 70cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0080,Philodendron Birkin,Trầu bà đế vương kim cương,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 35 cm",Dễ chăm sóc,Nắng tán xạ / Râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0081,Ficus Triangularis Variegata,Đa tam phúc,"• Kích thước chậu: 18x18cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0082,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,Chiều cao: 10 – 15 cm,Dễ chăm sóc,Ánh sáng tán xạ / Chịu được thiếu sáng,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0083,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,"• Kích thước chậu: 30×45 cm (ĐxC)
• Chiều cao 120 – 140cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0084,Epipremnum aureum,Trầu bà xanh,"•Cao 160 – 170 cm
•Kích thước chậu: 40x60cm (DxC)",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0085,Dracaena draco L,Phát tài núi,Chiều cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0086,Radermachera Sinica,Cây hạnh phúc,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 30 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0087,Dracaena draco L,Phát tài núi,Chiều cao 150 – 160 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Tưới nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0088,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 40x30cm (DxC)
•Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0089,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 12x11cm (DxC)
• Chiều cao tổng: 15 – 20 cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0090,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,"Ít nước, 2 – 3 lần/tuần","Kích thước chậu: 34×42 cm (DxC)
Chiều cao tổng: 90 – 100 cm",,,,,,
CCNPLT0091,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao tổng: 35 – 45cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 lần/tuần,,,,,,,
CCNPLT0092,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 40x30cm (DxC)
• Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,Ánh sáng tán xạ; Nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0093,Pachira aquatica,Cây kim ngân bính,"• Kích thước chậu: 30x30cm (DxC)
• Chiều cao tổng: 150 – 160cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0094,Ficus lyrata,Bàng Singapore / Sung tỳ bà,,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 30×30 cm (DxC)
• Chiều cao tổng: 100– 120 cm",,,,,,
CCNPLT0095,Euphorbia Pulcherrima,"• Trạng Nguyên
• Nhất Phẩm Hồng",Cao 35 – 45 cm,Dễ chăm sóc,"• Ánh nắng gián tiếp
• Ánh sáng tán xạ","• Vừa phải, 2 – 3 lần/tuần
• Đất trồng thông thoáng",,,,,,,
CCNPLT0096,Euphorbia Pulcherrima,"• Trạng Nguyên
• Nhất Phẩm Hồng",Cao 35 – 45 cm,Dễ chăm sóc,"• Ánh nắng gián tiếp
• Ánh sáng tán xạ","• Vừa phải, 2 – 3 lần/tuần
• Đất trồng thông thoáng",,,,,,,
CCNPLT0097,Peperomia obtusifolia var,Cây trường sinh cẩm thạch,,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,Chiều cao 40 – 60 cm,,,,,,
CCNPLT0098,Aglaonema ‘White Lance’,Cây giữ tiền,Chiều cao: 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0099,Aglaonema ‘White Lance’,Cây giữ tiền,Chiều cao: 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0100,Aglaonema ‘White Lance’,Cây giữ tiền,Chiều cao: 30 – 40 cm,Rất dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 3 – 4 lần/tuần,,,,,,,
CCNPLT0101,Sansevieria trifasciata Gold Flame,Cây lưỡi hổ hoàng kim,"• Kích thước chậu: 20x20cm (DxC)
• Chiều cao: 40 – 50 cm
• Số lượng thân: 3 thân",Dễ chăm sóc,Ánh sáng tán xạ; Bóng râm; Chịu được bóng râm,Tưới nước 1 lần/tuần,,,,,,,
