PLANTID,CODE,URL,TIÊU ĐỀ,TÊN KHOA HỌC,TÊN GỌI,GIÁ,MÔ TẢ,QUY CÁCH SẢN PHẨM,ĐỘ KHÓ,YÊU CẦU ÁNH SÁNG,NHU CẦU NƯỚC,KÍCH THƯỚC CÂY,LOẠI HẠT,CHẤT LIỆU CHẬU,MÀU SẮC,ĐỘ PH CỦA ĐẤT,LỌC KHÔNG KHÍ,TƯỚI NƯỚC
CCNPLT0010,SCHE020,https://mowgarden.com/cay-ngu-gia-bi-cam-thach-nho-chau-uom-sche020/,Cây ngũ gia bì cẩm thạch nhỏ chậu ươm SCHE020,Scheffera Octophylla,Ngũ gia bì cẩm thạch,100000,"Ngũ gia bì là loại cây mang lại tài vận, thịnh vượng và may mắn, trồng trong nhà sẽ mang đến một không gian thư thái, trong lành cho gia đình.",Chiều cao tổng: 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0011,LONI039,https://mowgarden.com/cay-kim-ngan-mot-than-de-ban-chau-su-loni039/,Cây kim ngân một thân để bàn chậu sứ LONI039,Pachira aquatica,Cây kim ngân,480000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.","• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0012,LIVI005,https://mowgarden.com/cay-co-la-xe-mini-de-ban-chau-su-hoa-van-livi005/,Cây cọ lá xẻ mini để bàn chậu sứ hoa văn LIVI005,Livistona chinensis,Cọ lá xẻ,160000,"Cây cọ nhật là loại cây trong nhà có kiểu lá xòe rộng như những cánh quạt, giúp trang trí không gian thêm xanh mát. Nó còn là loại cây phong thủy tượng trưng cho sự giàu sang và tiền tài nên rất đáng trồng trên bàn làm việc.","• Kích thước chậu: 14x14cm (DxC)
• Chiều cao chậu + cây: 25cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0013,RADE032,https://mowgarden.com/cay-hanh-phuc-de-san-2-tang-chau-su-hoa-van-rade032/,Cây hạnh phúc để sàn 2 tầng chậu sứ hoa văn RADE032,Radermachera Sinica,Cây hạnh phúc,900000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 25x25cm (DxC)
• Chiều cao tổng: 120cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0014,RADE031,https://mowgarden.com/cay-hanh-phuc-de-san-chau-su-rade031/,Cây hạnh phúc để sàn chậu sứ RADE031,Radermachera Sinica,Cây hạnh phúc,600000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 23x23cm (DxC)
• Chiều cao tổng: 80-100cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0015,LONI038,https://mowgarden.com/cay-kim-ngan-de-ban-that-binh-tieu-canh-chau-su-loni038/,Cây kim ngân để bàn thắt bính tiểu cảnh chậu sứ LONI038,Pachira aquatica,Cây kim ngân,380000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.","• Kích thước chậu: 20x18cm (DxC)
• Chiều cao tổng: 60cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0016,SHBG005,https://mowgarden.com/cay-luoi-ho-xanh-mini-black-gold-chau-su-shbg004-sao-chep/,Cây lưỡi hổ xanh để bàn mini ‘Black Gold’ chậu sứ SHBG005,Sansevieria ‘hahnii’ Black Gold,Cây lưỡi hổ Thái xanh,120000,"Lưỡi hổ Thái xanh mini là dòng lưỡi hổ nhỏ để bàn, có chiều cao tối đa khoảng 20cm, không có nhiều vằn như những loại lưỡi hổ khác, nhưng nó lại sở hữu bộ lá màu xanh đậm ấn tượng, mang lại nét ‘cứng cáp’ tự nhiên cho không gian. Chúng rất thích hợp để trên bàn làm việc, kệ trang trí hoặc làm quà tặng.","• Kích thược 12×11 cm (DxC)
• Chiều cao: 10 – 15 cm",Dễ chăm sóc,Ánh sáng tán xạ / Chịu bóng râm tốt,Thay nước 2 – 3 lần/tháng,,,,,,,
CCNPLT0017,PEAC005,https://mowgarden.com/cay-lan-y-chau-co-lon-de-ban-chau-su-trang-peac005/,Cây Lan ý chậu cỡ lớn để bàn chậu sứ trắng PEAC005,Spathiphyllum Wallisii,Lan ý,240000,"Những bông hoa trắng tinh khiết vươn lên đầy kiêu hãnh,phần còn lại phải kể đến vẻ đẹp được tạo từ những chiếc lá xanh tươi, tràn đầy sức sống.",Cao 30 – 40 cm,Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp","Ít nước, 2 – 3 lần/tuần",,,,,,,
CCNPLT0018,AGLA104,https://mowgarden.com/cay-phu-quy-chau-su-tho-cam-de-ban-agla104/,Cây phú quý chậu sứ thổ cẩm để bàn AGLA104,Aglaonema Red Siam,Cây Phú Quý,320000,"Cây Phú Quý có ý nghĩa mang lại may mắn, phú quý, đại cát đại lợi, bình an cho chủ nhân. Để Trúc Phú Quý mang lại ý nghĩa trọn vẹn bạn lưu ý về vị trí đặt theo hướng hợp với bản mệnh của mình.",Chiều cao: 50cm – Chậu 20x20cm,Dễ chăm sóc,Ánh sáng tán xạ; Chịu được khuất sáng,Vừa phải (2 lần/tuần),,,,,,,
CCNPLT0019,PHIG005,https://mowgarden.com/cay-trau-ba-de-vuong-xanh-imperial-green-chau-su-phig005/,Cây trầu bà đế vương xanh ‘Imperial Green’ chậu sứ PHIG005,Philodendron Imperial Green,Trầu bà đế vương xanh,320000,"Trầu Bà Đế Vương Xanh (Philodendron Imperial Green) là một giống cây rất ưu chuộng để trồng với ý nghĩa phong thủy mà nó mang lại. Nên đặt cây tại các vị trí như trong phòng khách, phòng làm việc, văn phòng hoặc sảnh ra vào cơ quan.",,Rất dễ chăm sóc,Nắng tán xạ,Tưới nước 3 – 5 lần/tháng,"• Kích thước chậu: 18x14cm (DxC)
• Chiều cao tổng: 25 – 35 cm",,,,,,
CCNPLT0020,AGSN010,https://mowgarden.com/cay-ngoc-ngan-de-ban-chau-su-agsn010/,Cây ngọc ngân để bàn chậu sứ AGSN010,Aglaonema Snow White,Cây ngọc ngân,160000,"Cây ngọc ngân là là cây trong nhà được đánh giá cao về phong thuỷ, người ta quan niệm rằng cây Ngọc ngân mang đến tài lộc, may mắn khi đặt trên bàn làm việc hay trang trí trong văn phòng. Về mặt tinh thần cây Ngọc ngân rất thích hợp làm quà tặng tình yêu.","• Kích thước chậu: 18x16cm (DxC)
• Chiều cao: 20 – 30cm",Dễ chăm sóc,Ánh sáng tán xạ; Tránh ánh nắng trực tiếp,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0021,LONI037,https://mowgarden.com/cay-kim-ngan-3-than-de-ban-chau-marle-loni037/,Cây kim ngân 3 thân để bàn chậu marle LONI037,Pachira aquatica,Cây kim ngân,140000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.","• Kích thước chậu: 15x14cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0022,BUBU007,https://mowgarden.com/cay-bang-dai-loan-cam-thach-chau-su-bubu007/,Cây bàng Đài Loan cẩm thạch chậu sứ BUBU007,Bucida Buceras Variegated,Bàng Đài Loan cẩm thạch,1200000,"Cây Bàng Đài Loan Cẩm Thạch có lá nhỏ xinh và sắc xanh, viền trắng hồng rất khác biệt và nổi bật, giúp không gian trở nên độc đáo và sang trọng","• Kích thước chậu: 42×47 cm (DxC)
• Chiều cao tổng: 130–140 cm",Dễ chăm sóc,Nắng trực tiếp / Nắng tán xạ,Tưới nước 4 – 5 lần/tuần,,,,,,,
CCNPLT0023,RADE030,https://mowgarden.com/cay-hanh-phuc-mot-than-co-thu-de-ban-chau-su-rade030/,Cây hạnh phúc một thân cổ thụ để bàn chậu sứ RADE030,Radermachera Sinica,Cây hạnh phúc,350000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 20x15cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0024,LYRA048,https://mowgarden.com/cay-bang-singapore-mini-de-ban-chau-su-lyra048/,Cây bàng Singapore mini để bàn chậu sứ LYRA048,Ficus lyrata,Bàng Singapore / Sung tỳ bà,180000,"Cây Bàng Singapore Lớn có thể dễ dàng nhận ra ở những góc quán cafe, bàn làm việc công. Với những chiếc lá căng bóng hình đàn vĩ cầm rất lớn, nhiều gân là hình chân chim nổi bật.",,Dễ chăm sóc,Nắng trực tiếp / Ánh sáng tán xạ,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 12×12 cm (DxC)
• Chiều cao tổng: 25 – 30 cm",,,,,,
CCNPLT0025,RADE029,https://mowgarden.com/cay-hanh-phuc-mini-de-ban-chau-su-rade029/,Cây hạnh phúc mini để bàn chậu sứ RADE029,Radermachera Sinica,Cây hạnh phúc,150000,"Cây hạnh phúc là dòng cây cảnh đẹp, sức sống khỏe mạnh, dễ chăm sóc. Trên cây có những tán lá xanh tươi, mượt mà thể hiện cho sự hi vọng và niềm tin mạnh mẽ. Với ý nghĩa mang lại may mắn và hạnh phúc nên cây thường được chọn để làm cây trưng trong nhà hoặc làm quà tặng.","• Kích thước chậu: 17x17cm (DxC)
• Chiều cao tổng: 35 – 40cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0026,,https://mowgarden.com/cay-kim-tien-mini-de-ban-chau-su-zami033/,Cây kim tiền mini để bàn chậu sứ ZAMI033,Zamioculcas Zamiifolia,Cây kim tiền / Kim phát tài,150000,"Cây kim tiền có lá hình xương cá màu xanh mướt. Loài này rất dễ sống phát triển mạnh ở những nơi có độ ẩm cao, thường được trồng để trang trí trong phòng khách, làm quà tặng tân gia, khai trương cửa hàng.","• Kích thước chậu: 14×12 cm (DxC)
• Chiều cao tổng: 30 – 35 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0027,AGRA005,https://mowgarden.com/cay-van-loc-son-red-anjamani-de-ban-chau-gom-hoa-agra005/,Cây vạn lộc son ‘Red Anjamani’ để bàn chậu gốm hoa AGRA005,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,120000,"Cô tòng đuôi lươn sở hữu bộ lá nhiều màu sắc rực rỡ, cùng những đường viền hoa văn độc đáo, chúngthường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.","• Kích thước chậu: 9x12cm (DxC)
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0028,PEOB006,https://mowgarden.com/cay-truong-sinh-xanh-de-ban-chau-su-peob006/,Cây trường sinh xanh để bàn chậu sứ PEOB006,Peperomia obtusifolia,Cây trường sinh,140000,"Cây trường sinh xanh là một loại cây cảnh trong nhà đẹp mắt, với bộ lá luôn xanh mát, sức sống mãnh liệt, dễ chăm sóc. Đây cũng là loại cây phong thủy với tác dụng mang đến sức khỏe, may mắn và tiền tài tới cho gia chủ. Người ta thường hay tặng cây trường sinh vào những dịp đặc biệt như là một lời chúc phúc tới người nhận.",,Dễ chăm sóc,Nắng tán xạ / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,"• Kích thước chậu: 14×14 cm (DxC)
• Chiều cao tổng: 30 cm",,,,,,
CCNPLT0029,PHGO006,https://mowgarden.com/cay-trau-ba-de-vuong-vang-chau-su-hoa-tiet-phig006/,Cây trầu bà đế vương vàng chậu sứ họa tiết PHGO006,Philodendron Imperial Golden,Cây trầu bà đế vương vàng,180000,"Trầu Bà Đế Vương Vàng có tên tiếng Anh là Philodendron Imperial Golden, là dòng cây thân thảo, có sức sống bền bỉ và rất dễ chăm sóc. Loài cây này có phần lá non màu vàng tươi tại trung tâm, khi già đi thì lá chuyển sang màu xanh trong tự nhiên rất bắt mắt. Đây là một loại cây trang trí nội thất rất tuyệt vời, nó giúp không gian sống có thêm điểm nhấn bởi phần lá màu vàng của mình.","• Kích thước chậu: 15×12,5 (DxC)
• Chiều cao tổng: 35 – 40 cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0030,AGRA004,https://mowgarden.com/cay-van-loc-son-red-anjamani-de-ban-chau-su-agra004/,Cây vạn lộc son ‘Red Anjamani’ để bàn chậu sứ AGRA004,Aglaonema ‘Red Anjamani’,Cây hồng phát lộc,220000,"Cô tòng đuôi lươn sở hữu bộ lá nhiều màu sắc rực rỡ, cùng những đường viền hoa văn độc đáo, chúngthường được trồng trang trí cho bồn hoa, ban công hoặc trước hiên nhà. Loại cây này đôi lúc được trồng trong nhà, nhưng đòi hỏi phải trồng nơi có nhiều ánh sáng, gần cửa sổ.","• Kích thước chậu: 11x11cm
• Chiều cao: 30 – 35 cm",Dễ chăm sóc,Nắng tán xạ / Nơi râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0031,LONI036,https://mowgarden.com/cay-kim-ngan-no-de-ban-chau-su-trang-loni036/,Cây kim ngân nơ để bàn chậu sứ trắng LONI036,Pachira aquatica,Cây kim ngân,150000,"Cây Kim Ngân là loại cây cảnh trong nhà được trồng phổ biến trên khắp thế giới, nó có sức ảnh hưởng tới mức mà hầu như ai cũng tin rằng khi trồng có thể mang lại nhiều may mắn trong cuộc sống, công việc hoặc làm ăn.","• Kích thước chậu: cm (DxC)
• Chiều cao tổng: cm",Dễ chăm sóc,Ánh sáng tán xạ / Nắng trực tiếp / Chịu râm mát,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0032,SAFS005,https://mowgarden.com/cay-luoi-ho-thai-de-ban-futura-superba-chau-su-safs005/,Cây lưỡi hổ Thái để bàn ‘Futura superba’ chậu sứ SAFS005,Sansevieria futura Superba,Cây lưỡi hổ thái,360000,"Lưỡi hổ là loại cây cảnh nội thất kinh điển nhất, bởi sức sống bền bỉ không cần tốn công chăm sóc, lại còn được NASA đánh giá là có khả năng thanh lọc không khí rất hiệu quả bằng một cơ chế hấp thu các loại chất khí độc hại trên bộ lá.","• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 30 – 40 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0033,TBTX009-1,https://mowgarden.com/cay-trau-ba-thanh-xuan-chau-su-hoa-tiet-tbtx010/,Cây trầu bà thanh xuân chậu sứ họa tiết TBTX010,Thaumatophyllum bipinnatifidum,Cây trầu bà thanh xuân / Cây trầu bà tay Phật,950000,"Trầu bà thanh xuân là loại cây trong nhà độc đáo được mọi người ưa thích và trưng bày trang trí. Trầu Bà Thanh Xuân có ý nghĩa về mặt phong thủy nó còn có ý nghĩa may mắn, đem lại tài lộc, gia tăng vận khí, thể hiện ý chí vươn lên của gia chủ.","• Kích thước chậu: 32×40 cm (ĐxC)
• Chiều cao 120 – 140cm
• Kích thước tán 90 – 100cm",Dễ chăm sóc,Nắng tán xạ / Bóng râm,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0034,SCHE019,https://mowgarden.com/cay-ngu-gia-bi-de-ban-chau-su-tho-cam-sche019/,Cây ngũ gia bì để bàn chậu sứ thổ cẩm SCHE019,Scheffera Octophylla,Ngũ gia bì,220000,"Ngũ gia bì là loại cây mang lại tài vận, thịnh vượng và may mắn, trồng trong nhà sẽ mang đến một không gian thư thái, trong lành cho gia đình.","• Kích thước chậu: 20×18 cm (DxC)
• Chiều cao tổng: 40-50 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0035,CPTN014,https://mowgarden.com/cay-phat-tai-nui-2-tang-dang-thap-chau-da-mai-cptn014/,Cây phát tài núi 2 tầng dáng thấp chậu đá mài CPTN014,Dracaena draco,Phát tài núi,1650000,"Cây phát tài núi rất thường được lựa chọn để làm quà tặng vào những dịp khai trương, lên nhà mới, văn phòng mới… với mong muốn đem lại nhiều tài lộc và may mắn cho người được tặng.","• Kích thước chậu: 38.5x30cm (DxC)
• Chiều cao tổng: 120 – 130 cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0036,TUBO004,https://mowgarden.com/cay-tung-bong-lai-bonsai-tieu-canh-chau-su-tubo004/,Cây tùng bồng lai bonsai tiểu cảnh chậu sứ TUBO004,Podocarpus macrophyllus,Cây tùng bồng lai,2200000,"Cây Tùng Bông Lai là một loài cây mang vẻ đẹp trang nhã, với tán lá dầy xanh mướt trông giống như những đám mây và có kích thước nhỏ gọn nên rất thích hợp để bàn làm việc. Chúng là loài cây dễ trồng nên không cần phải tốn công chăm sóc, tuy nhiên cần đặt tại nơi có nhiều ánh sáng.","• Kích thước chậu: 35x15cm (DxC)
• Chiều cao tổng: 55 cm
• Độ rộng tán: 45 cm",Trung bình,Nắng trực tiếp / nắng tán xạ,Tưới nước 2 – 3 lần/tuần,,,,,,,
CCNPLT0037,PHIR007,https://mowgarden.com/cay-trau-ba-de-vuong-do-red-rojo-chau-su-phir007/,Cây trầu bà đế vương đỏ ‘Red Rojo’ chậu sứ PHIR007,Philodendron Imperial Red,Trầu bà đế vương đỏ,550000,"Thân dạng thảo lớn, trong tự nhiên cây có thể leo được, nhưng đa số khi trồng chậu thì thân vươn thẳng chắc chắn, cao khoảng dưới 1m5.","• Kích thước chậu: cm (DxC)
• Chiều cao tổng:  cm
• Độ rộng tán: cm",Dễ chăm sóc,"Nắng tán xạ, chịu được nắng trực tiếp",Tưới nước 2 – 3 lần/tuần,,,,,,,
